Score, Alerts, Flags, Time, Symbol, Expiration Date, Strike, Call/Put, Price, Trade Spread, Premium, Stock Last, Trade Size, Open Interest, Stock Cnt., Option Cnt., Implied Vol., Earnings Date
"3","","Block Trade","09:34:45 AM","IREN","11/20/2026","110","Call","$6.25","At Ask","$312.5k","$59.30","500","4,109","48","1","108",""
"3","Repeater_Bearish","Block Trade","09:34:49 AM","SPCX","06/26/2026","160","Put","$2.95","Askish","$147.5k","$173.68","500","0","133","3","0",""
"4","AllTheThings","Sweep","09:34:49 AM","AIG","07/02/2026","78","Call","$0.75","At Ask","$51.9k","$75.13","692","14","3","1","32.95",""
"4","DonkeyKong, Repeater_Bullish","Block Trade","09:34:49 AM","INTC","06/26/2026","160","Call","$1.25","At Mid","$125k","$139.45","1,000","2,684","159","28","115.4",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:34:56 AM","INTC","06/26/2026","160","Call","$1.25","At Bid","$187.5k","$139.23","1,500","2,684","159","28","116.38",""
"3","DonkeyKong, Repeater_Bullish","Block Trade","09:35:02 AM","NVDA","06/22/2026","215","Call","$0.97","At Bid","$52.72k","$213.66","541","5,354","264","28","0",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:35:04 AM","INTC","06/26/2026","160","Call","$1.29","At Bid","$141.9k","$139.54","1,100","2,684","159","28","114.98",""
"3","Repeater_Bearish","Block Trade","09:35:04 AM","NVDA","06/22/2026","212.5","Put","$1.00","Below Bid","$53.1k","$213.80","531","733","264","6","0",""
"3","DonkeyKong, Repeater_Bullish","Block Trade","09:35:05 AM","NVDA","06/22/2026","215","Call","$0.99","At Mid","$66.84k","$213.71","677","5,354","264","28","0",""
"6","DonkeyKong, Repeater_Bullish","Block Trade","09:35:10 AM","KEEL","08/21/2026","7.5","Call","$1.30","Above Ask","$145.6k","$7.16","1,120","33,504","29","4","90.65",""
"4","DonkeyKong, Repeater_Bullish","Block Trade","09:35:11 AM","INTC","06/26/2026","160","Call","$1.29","At Bid","$258k","$139.47","2,000","2,684","159","28","115.29",""
"4","Repeater_Bullish","Sweep","09:35:13 AM","HIMS","08/21/2026","40","Call","$4.20","At Mid","$1.81M","$34.70","4,316","3,353","28","2","114.29",""
"4","DonkeyKong, Repeater_Bullish","Block Trade","09:35:19 AM","INTC","06/26/2026","160","Call","$1.30","At Bid","$259.91k","$139.66","2,000","2,684","159","28","114.47",""
"5","DonkeyKong, Repeater_Bullish","Sweep","09:35:22 AM","NVDA","06/26/2026","215","Call","$3.50","At Bid","$733.25k","$213.79","2,095","23,725","264","10","34.61",""
"5","Repeater_Bullish","Block Trade","09:35:22 AM","NVDA","06/26/2026","215","Call","$3.55","At Bid","$397.6k","$213.91","1,120","23,725","264","10","33.96",""
"3","DonkeyKong, Repeater_Bullish","Block Trade","09:35:24 AM","SMCI","06/26/2026","36","Call","$0.86","Askish","$68.81k","$33.84","800","1,386","61","4","64.67",""
"2","","Block Trade","09:35:25 AM","CHAU","08/21/2026","25","Call","$2.11","Bidish","$105.52k","$25.92","500","1,176","1","1","0",""
"5","Repeater_Bullish","Block Trade","09:35:26 AM","INTC","06/26/2026","145","Call","$4.45","At Ask","$891.8k","$139.47","2,004","4,731","159","2","96.06",""
"4","DonkeyKong, Repeater_Bullish","Sweep","09:35:26 AM","NVDA","06/22/2026","212.5","Call","$2.22","Below Bid","$2.93M","$213.71","13,186","6,697","264","32","0",""
"3","","Block Trade","09:35:30 AM","NVDA","08/21/2026","260","Call","$2.47","Askish","$165.74k","$213.68","671","16,136","264","1","38.89",""
"6","DonkeyKong, Repeater_Bullish","Sweep","09:35:33 AM","INTC","06/26/2026","160","Call","$1.34","At Bid","$270.68k","$139.88","2,020","2,684","159","28","113.49",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:35:33 AM","INTC","06/26/2026","160","Call","$1.34","At Bid","$240.5k","$139.88","1,794","2,684","159","28","113.49",""
"5","DonkeyKong, Repeater_Bullish","Sweep","09:35:36 AM","SMCI","06/26/2026","36","Call","$0.87","At Ask","$69.6k","$33.85","800","1,386","61","4","64.57",""
"3","Repeater_Bearish","Block Trade","09:35:44 AM","GOOGL","06/22/2026","352.5","Put","$1.07","Bidish","$64.42k","$356.08","602","191","196","4","0",""
"6","Repeater_Bullish","Sweep","09:35:51 AM","NVDA","06/22/2026","212.5","Call","$2.15","At Ask","$153.72k","$213.58","715","6,697","264","32","0",""
"4","Repeater_Bullish","Block Trade","09:35:52 AM","SMCI","06/26/2026","36","Call","$0.83","At Ask","$66.4k","$33.71","800","1,386","61","4","67.44",""
"4","","Block Trade","09:35:54 AM","SLV","08/21/2026","60","Put","$4.05","At Bid","$216.68k","$60.13","535","9,563","51","2","47.97",""
"6","DonkeyKong, Repeater_Bullish","Block Trade","09:35:55 AM","INTC","06/26/2026","160","Call","$1.50","At Ask","$180k","$140.80","1,200","2,684","159","28","109.4",""
"3","","Block Trade","09:35:57 AM","INTC","08/21/2026","100","Put","$4.51","Bidish","$451k","$140.82","1,000","13,735","159","1","102.41",""
"4","Repeater_Bullish","Block Trade","09:36:01 AM","NOK","01/15/2027","15","Call","$3.05","At Ask","$152.5k","$14.04","500","56,344","46","8","70.7",""
"3","","Block Trade","09:36:06 AM","SEDG","06/26/2026","65","Call","$1.30","At Ask","$92.95k","$60.09","715","199","1","1","130.78",""
"4","DonkeyKong, Repeater_Bearish","Block Trade","09:36:13 AM","IBIT","09/18/2026","40","Put","$4.50","Bidish","$236.7k","$36.94","526","25,594","133","3","54.37",""
"2","","Block Trade","09:36:15 AM","NVDA","06/29/2026","200","Put","$0.81","Askish","$81k","$213.35","1,000","506","264","1","51.35",""
"3","","Block Trade","09:36:19 AM","OKLO","07/17/2026","100","Call","$0.37","Askish","$52.49k","$58.75","1,419","8,387","1","1","0",""
"4","","Block Trade","09:36:22 AM","HL","07/17/2026","18","Call","$0.42","Askish","$163.38k","$15.84","3,890","1,258","9","1","72.79",""
